epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.57047E+12,2019-10-07T13.22.24.891,16.579,61.921,-2.866,-2.043
1.57047E+12,2019-10-07T13.22.24.911,16.599,53.78,-4.04,-1.707
1.57047E+12,2019-10-07T13.22.24.932,16.62,47.881,-3.247,-1.159
1.57047E+12,2019-10-07T13.22.24.951,16.639,45.473,-0.823,0.442
1.57047E+12,2019-10-07T13.22.24.971,16.659,41.494,-0.823,1.738
1.57047E+12,2019-10-07T13.22.24.992,16.68,34.223,-1.174,2.652
1.57047E+12,2019-10-07T13.22.25.012,16.7,26.631,3.216,3.979
1.57047E+12,2019-10-07T13.22.25.031,16.719,17.927,6.311,4.192
1.57047E+12,2019-10-07T13.22.25.052,16.74,6.433,1.799,3.659
1.57047E+12,2019-10-07T13.22.25.072,16.76,-5.244,-1.433,3.567
1.57047E+12,2019-10-07T13.22.25.093,16.781,-16.006,4.649,4.085
1.57047E+12,2019-10-07T13.22.25.112,16.8,-26.113,9.558,5.03
1.57047E+12,2019-10-07T13.22.25.132,16.82,-33.521,14.314,4.909
1.57047E+12,2019-10-07T13.22.25.153,16.841,-36.814,15.762,3.872
1.57047E+12,2019-10-07T13.22.25.173,16.861,-38.948,24.055,3.567
1.57047E+12,2019-10-07T13.22.25.194,16.882,-55.625,20.793,0.747
1.57047E+12,2019-10-07T13.22.25.213,16.901,-138.857,15.777,4.436
1.57047E+12,2019-10-07T13.22.25.234,16.922,-133.75,78.552,7.485
1.57047E+12,2019-10-07T13.22.25.254,16.942,-81.189,20.762,-9.863
1.57047E+12,2019-10-07T13.22.25.275,16.963,-64.726,24.604,-21.784
1.57047E+12,2019-10-07T13.22.25.294,16.982,-68.11,88.155,-16.021
1.57047E+12,2019-10-07T13.22.25.314,17.002,-83.369,80.701,-0.762
1.57047E+12,2019-10-07T13.22.25.335,17.023,-87.317,46.784,13.826
1.57047E+12,2019-10-07T13.22.25.355,17.043,-67.195,33.857,12.424
1.57047E+12,2019-10-07T13.22.25.374,17.062,-49.101,13.78,2.134
1.57047E+12,2019-10-07T13.22.25.395,17.083,-44.543,-7.973,-3.887
1.57047E+12,2019-10-07T13.22.25.415,17.103,-44.726,-6.677,-3.582
1.57047E+12,2019-10-07T13.22.25.436,17.124,-39.055,1.204,-2.912
1.57047E+12,2019-10-07T13.22.25.455,17.143,-29.284,-10.076,-4.421
1.57047E+12,2019-10-07T13.22.25.475,17.163,-32.835,-18.933,-7.226
1.57047E+12,2019-10-07T13.22.25.496,17.184,-47.454,-8.948,-7.851
1.57047E+12,2019-10-07T13.22.25.516,17.204,-58.582,5.915,-7.119
1.57047E+12,2019-10-07T13.22.25.537,17.225,-71.296,20.686,-4.909
1.57047E+12,2019-10-07T13.22.25.556,17.244,-90.366,16.22,-2.942
1.57047E+12,2019-10-07T13.22.25.576,17.264,-105.579,2.622,-1.098
1.57047E+12,2019-10-07T13.22.25.597,17.285,-119.558,-1.235,0.823
1.57047E+12,2019-10-07T13.22.25.617,17.305,-141.982,-15.335,1.387
1.57047E+12,2019-10-07T13.22.25.636,17.324,-151.448,-43.628,-2.713
1.57047E+12,2019-10-07T13.22.25.657,17.345,-145.076,-35.61,-6.25
1.57047E+12,2019-10-07T13.22.25.677,17.365,-151.707,-37.088,-8.826
1.57047E+12,2019-10-07T13.22.25.698,17.386,-160.854,-40.534,-7.378
1.57047E+12,2019-10-07T13.22.25.717,17.405,-174.253,-14.482,-7.424
1.57047E+12,2019-10-07T13.22.25.737,17.425,-183.887,-15.305,-9.588
1.57047E+12,2019-10-07T13.22.25.758,17.446,-182.82,-45.732,-13.399
1.57047E+12,2019-10-07T13.22.25.778,17.466,-176.829,-81.311,-19.055
1.57047E+12,2019-10-07T13.22.25.799,17.487,-144.878,-97.027,-13.171
1.57047E+12,2019-10-07T13.22.25.818,17.506,-84.146,-97.47,-10.869
1.57047E+12,2019-10-07T13.22.25.839,17.527,-3.826,-89.405,-23.034
1.57047E+12,2019-10-07T13.22.25.859,17.547,90.915,-50.625,-35.503
1.57047E+12,2019-10-07T13.22.25.880,17.568,157.607,29.97,-38.735
1.57047E+12,2019-10-07T13.22.25.899,17.587,169.817,89.085,-35.366
1.57047E+12,2019-10-07T13.22.25.919,17.607,198.491,112.165,-21.326
1.57047E+12,2019-10-07T13.22.25.940,17.628,241.357,105.137,-10.229
1.57047E+12,2019-10-07T13.22.25.960,17.648,278.171,31.662,-11.54
1.57047E+12,2019-10-07T13.22.25.979,17.667,300.381,-89.284,-30.442
1.57047E+12,2019-10-07T13.22.26.000,17.688,309.649,-147.47,-56.951
1.57047E+12,2019-10-07T13.22.26.020,17.708,305.457,-83.369,-61.052
1.57047E+12,2019-10-07T13.22.26.041,17.729,289.131,35.381,-37.866
1.57047E+12,2019-10-07T13.22.26.061,17.749,260.473,104.543,-10.823
1.57047E+12,2019-10-07T13.22.26.080,17.768,213.384,87.073,1.204
1.57047E+12,2019-10-07T13.22.26.101,17.789,167.104,39.024,4.405
1.57047E+12,2019-10-07T13.22.26.121,17.809,124.893,14.771,7.53
1.57047E+12,2019-10-07T13.22.26.142,17.83,75.518,27.439,6.098
1.57047E+12,2019-10-07T13.22.26.161,17.849,16.265,29.726,0.396
1.57047E+12,2019-10-07T13.22.26.181,17.869,-41.159,-2.927,-1.707
1.57047E+12,2019-10-07T13.22.26.202,17.89,-93.582,-7.546,6.738
1.57047E+12,2019-10-07T13.22.26.222,17.91,-169.832,87.988,33.338
1.57047E+12,2019-10-07T13.22.26.241,17.929,-129.558,207.561,19.985
1.57047E+12,2019-10-07T13.22.26.262,17.95,-86.494,36.57,-33.186
1.57047E+12,2019-10-07T13.22.26.282,17.97,-90.03,-82.683,-55.96
1.57047E+12,2019-10-07T13.22.26.303,17.991,-109.954,-27.561,-25.503
1.57047E+12,2019-10-07T13.22.26.323,18.011,-108.796,74.192,29.405
1.57047E+12,2019-10-07T13.22.26.342,18.03,-82.851,116.357,27.866
1.57047E+12,2019-10-07T13.22.26.363,18.051,-57.287,50.549,9.588
1.57047E+12,2019-10-07T13.22.26.383,18.071,-63.826,-45.549,-3.491
1.57047E+12,2019-10-07T13.22.26.404,18.092,-84.345,-69.162,-5.488
1.57047E+12,2019-10-07T13.22.26.423,18.111,-55,-13.537,2.53
1.57047E+12,2019-10-07T13.22.26.444,18.132,-23.552,54.451,15.229
1.57047E+12,2019-10-07T13.22.26.464,18.152,-32.759,55.213,12.591
1.57047E+12,2019-10-07T13.22.26.485,18.173,-57.165,21.067,2.256
1.57047E+12,2019-10-07T13.22.26.504,18.192,-75.976,-9.604,-2.363
1.57047E+12,2019-10-07T13.22.26.524,18.212,-87.012,-5.701,3.75
1.57047E+12,2019-10-07T13.22.26.545,18.233,-89.954,25.869,4.04
1.57047E+12,2019-10-07T13.22.26.565,18.253,-104.71,12.957,-5.625
1.57047E+12,2019-10-07T13.22.26.586,18.274,-136.479,-30.838,-13.186
1.57047E+12,2019-10-07T13.22.26.605,18.293,-152.027,-65.183,-14.314
1.57047E+12,2019-10-07T13.22.26.625,18.313,-142.073,-50.686,-11.204
1.57047E+12,2019-10-07T13.22.26.646,18.334,-142.82,-33.308,-22.622
1.57047E+12,2019-10-07T13.22.26.666,18.354,-161.479,-47.241,-32.988
1.57047E+12,2019-10-07T13.22.26.685,18.373,-188.826,-64.817,-30.091
1.57047E+12,2019-10-07T13.22.26.706,18.394,-198.293,-57.652,-12.393
1.57047E+12,2019-10-07T13.22.26.726,18.414,-188.232,-19.299,0.838
1.57047E+12,2019-10-07T13.22.26.747,18.435,-154.588,-22.912,-3.902
1.57047E+12,2019-10-07T13.22.26.766,18.454,-90.732,-65.213,-13.079
1.57047E+12,2019-10-07T13.22.26.786,18.474,-2.058,-113.948,-24.07
1.57047E+12,2019-10-07T13.22.26.807,18.495,84.238,-115.427,-40.259
1.57047E+12,2019-10-07T13.22.26.827,18.515,122.515,-10.427,-44.543
1.57047E+12,2019-10-07T13.22.26.848,18.536,158.948,86.631,-35.762
1.57047E+12,2019-10-07T13.22.26.867,18.555,213.857,116.402,-25.381
1.57047E+12,2019-10-07T13.22.26.887,18.575,257.241,70.869,-19.101
1.57047E+12,2019-10-07T13.22.26.908,18.596,278.902,-23.811,-19.634
1.57047E+12,2019-10-07T13.22.26.928,18.616,295.869,-89.223,-28.994
1.57047E+12,2019-10-07T13.22.26.947,18.635,312.47,-67.957,-40.473
1.57047E+12,2019-10-07T13.22.26.968,18.656,319.223,11.357,-35.976
1.57047E+12,2019-10-07T13.22.26.988,18.676,301.585,56.86,-22.043
1.57047E+12,2019-10-07T13.22.27.009,18.697,257.988,69.116,-5.945
1.57047E+12,2019-10-07T13.22.27.028,18.716,211.997,91.128,7.226
1.57047E+12,2019-10-07T13.22.27.048,18.736,184.268,69.329,4.665
1.57047E+12,2019-10-07T13.22.27.069,18.757,146.402,4.451,-6.052
1.57047E+12,2019-10-07T13.22.27.090,18.778,84.558,-16.448,-6.189
1.57047E+12,2019-10-07T13.22.27.110,18.798,29.787,37.088,2.378
1.57047E+12,2019-10-07T13.22.27.129,18.817,-37.226,57.729,0.259
1.57047E+12,2019-10-07T13.22.27.150,18.838,-154.223,-45.899,-12.393
1.57047E+12,2019-10-07T13.22.27.170,18.858,-177.195,99.985,24.756
1.57047E+12,2019-10-07T13.22.27.191,18.879,-82.576,259.284,0.777
1.57047E+12,2019-10-07T13.22.27.210,18.898,-92.988,46.54,-35.152
1.57047E+12,2019-10-07T13.22.27.230,18.918,-133.216,-40.869,-19.009
